mouse,weight,day,cage
F1a,16.9,3,F1
F1b,20.5,3,F1
F1c,17.5,3,F1
F2a,18.1,3,F2
F2b,16.1,3,F2
F2c,19.2,3,F2
M1a,23.3,3,M1
M1b,27.3,3,M1
M1c,25,3,M1
M2a,23.5,3,M2
M2b,23.3,3,M2
M2c,23.3,3,M2
F1a,16.3,5,F1
F1b,21.3,5,F1
F1c,18.2,5,F1
F2a,18.8,5,F2
F2b,15.6,5,F2
F2c,19.6,5,F2
M1a,24,5,M1
M1b,27.8,5,M1
M1c,25.1,5,M1
M2a,23.5,5,M2
M2b,23.8,5,M2
M2c,23.5,5,M2
F1a,17.5,7,F1
F1b,20.6,7,F1
F1c,19.3,7,F1
F2a,18.5,7,F2
F2b,16.4,7,F2
F2c,19.3,7,F2
M1a,24.3,7,M1
M1b,28.1,7,M1
M1c,25.9,7,M1
M2a,24.2,7,M2
M2b,24,7,M2
M2c,24.5,7,M2
F1a,17.5,8,F1
F1b,20.8,8,F1
F1c,18.2,8,F1
F2a,18.8,8,F2
F2b,16.5,8,F2
F2c,19.5,8,F2
M1a,24.4,8,M1
M1b,28.4,8,M1
M1c,26.1,8,M1
M2a,24.4,8,M2
M2b,24.7,8,M2
M2c,24.9,8,M2
F1a,16.6,9,F1
F1b,20.6,9,F1
F1c,17.8,9,F1
F2a,18.8,9,F2
F2b,16.5,9,F2
F2c,19.5,9,F2
M1a,24.4,9,M1
M1b,28.4,9,M1
M1c,26.1,9,M1
M2a,24.4,9,M2
M2b,24.7,9,M2
M2c,24.9,9,M2
F1a,17.3,10,F1
F1b,21.3,10,F1
F1c,18.9,10,F1
F2a,19.7,10,F2
F2b,16.3,10,F2
F2c,20.6,10,F2
M1a,25.4,10,M1
M1b,29.1,10,M1
M1c,26.4,10,M1
M2a,24.4,10,M2
M2b,24.6,10,M2
M2c,25.3,10,M2
F1a,17.8,11,F1
F1b,21.8,11,F1
F1c,19.6,11,F1
F2a,18.6,11,F2
F2b,16.7,11,F2
F2c,21.2,11,F2
M1a,25.5,11,M1
M1b,29,11,M1
M1c,26.8,11,M1
M2a,24.4,11,M2
M2b,24.5,11,M2
M2c,25.5,11,M2
F1a,18.2,12,F1
F1b,20.9,12,F1
F1c,20.2,12,F1
F2a,18.8,12,F2
F2b,16.6,12,F2
F2c,20.2,12,F2
M1a,25.5,12,M1
M1b,28.4,12,M1
M1c,26.9,12,M1
M2a,24.9,12,M2
M2b,25.1,12,M2
M2c,25.6,12,M2
F1a,17.5,13,F1
F1b,21.1,13,F1
F1c,19.2,13,F1
F2a,18.9,13,F2
F2b,16.8,13,F2
F2c,19.5,13,F2
M1a,24.9,13,M1
M1b,27.6,13,M1
M1c,25.8,13,M1
M2a,24.7,13,M2
M2b,25,13,M2
M2c,24.6,13,M2
F1a,16.7,14,F1
F1b,20.8,14,F1
F1c,18.9,14,F1
F2a,18.4,14,F2
F2b,16.9,14,F2
F2c,19,14,F2
M1a,23.6,14,M1
M1b,26.4,14,M1
M1c,24.5,14,M1
M2a,23.8,14,M2
M2b,25,14,M2
M2c,23,14,M2
F1a,16.3,15,F1
F1b,20.6,15,F1
F1c,18.9,15,F1
F2a,18.6,15,F2
F2b,16.5,15,F2
F2c,18.6,15,F2
M1a,21.9,15,M1
M1b,25.5,15,M1
M1c,23.4,15,M1
M2a,23.7,15,M2
M2b,25.1,15,M2
