sample,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_fissicatena_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005,d__Bacteria;p__Firmicutes;c__Bacilli;__;__;__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-008,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__uncultured,day,hs,cage,sex
F1D1,6,3,0,353,0,0,48,22,0,0,59,165,41,6,6,2830,65,57,60,1,Pre-DSS,F1,Female
F1D11,0,313,26,0,0,116,0,27,6844,0,65,0,18,0,81,3025,32,0,2,11,DSS,F1,Female
F1D12,11,270,352,0,0,165,0,86,2934,0,176,0,26,0,3,4530,94,0,35,12,DSS,F1,Female
F1D13,30,83,349,0,0,205,0,180,9302,0,147,11,0,0,58,2755,91,30,19,13,Colitis,F1,Female
F1D14,131,154,181,0,0,207,0,82,3027,0,104,40,24,0,42,2331,81,0,36,14,Colitis,F1,Female
F1D15,173,367,449,0,0,217,0,10,2953,0,287,0,46,0,2,4722,54,0,13,15,Colitis,F1,Female
F1D18,66,30,891,0,0,142,0,0,5820,0,90,322,0,118,90,950,15,0,2,18,Colitis,F1,Female
F1D22,375,147,1527,0,0,194,0,15,4935,14,49,267,30,57,11,1317,8,20,1,22,Recovery,F1,Female
F1D26,38,122,1085,0,0,189,0,5,2318,7,59,1229,28,109,66,1429,17,54,14,26,Recovery,F1,Female
F1D29,21,174,478,0,0,73,0,0,585,0,0,117,0,6,18,1801,26,0,39,29,Recovery,F1,Female
F1D5,8,0,0,150,19,0,53,184,0,0,247,130,87,0,0,4150,61,25,33,5,Pre-DSS,F1,Female
F1D7,11,0,0,112,39,17,25,92,1691,0,187,77,38,2,2,3361,78,32,70,7,Pre-DSS,F1,Female
F1D8,22,0,0,100,8,18,31,18,10543,0,112,737,23,216,8,1921,12,0,15,8,DSS,F1,Female
F2D1,43,0,0,179,83,52,28,95,0,0,199,0,69,0,4,3171,68,51,114,1,Pre-DSS,F2,Female
F2D11,9,77,163,0,0,163,0,48,0,0,125,122,23,0,0,2603,27,1,25,11,DSS,F2,Female
F2D12,62,80,761,0,0,263,0,570,0,0,375,0,32,0,0,6403,137,0,31,12,DSS,F2,Female
F2D13,58,19,138,0,0,69,0,51,0,0,147,34,28,0,2,1885,42,32,49,13,Colitis,F2,Female
F2D14,17,6,34,0,0,14,0,0,0,0,9,2,0,0,5,197,0,0,0,14,Colitis,F2,Female
F2D15,269,105,1708,0,0,281,0,41,0,49,145,135,73,0,2,3354,84,0,32,15,Colitis,F2,Female
