	observed_features
F1Epos1	25
F1Epos10	67
F1Epos11	93
F1Epos12	126
F1Epos13	26
F1Epos2	138
F1Epos3	78
F1Epos4	63
F1Epos5	46
F1Epos6	68
F1Epos7	73
F1Epos8	52
F1Epos9	69
F2Epos1	66
F2Epos10	45
F2Epos11	114
F2Epos12	55
F2Epos13	43
F2Epos2	34
F2Epos3	69
F2Epos4	16
F2Epos5	30
F2Epos6	49
F2Epos7	34
F2Epos8	48
F2Epos9	49
M1Epos1	120
M1Epos10	33
M1Epos11	149
M1Epos12	76
M1Epos13	75
M1Epos2	49
M1Epos3	34
M1Epos4	103
M1Epos5	18
M1Epos6	52
M1Epos7	30
M1Epos8	54
M1Epos9	54
M2Epos1	86
M2Epos10	64
M2Epos11	76
M2Epos12	89
M2Epos13	130
M2Epos2	104
M2Epos3	35
M2Epos4	82
M2Epos5	52
M2Epos6	26
M2Epos7	41
M2Epos8	70
M2Epos9	66
