	shannon_entropy
F1Epos1	3.62674542318803
F1Epos10	3.997825558462553
F1Epos11	3.021524237767407
F1Epos12	3.7967785261970435
F1Epos13	3.603983372447327
F1Epos2	5.58249072413179
F1Epos3	4.922150953512361
F1Epos4	4.647141640674875
F1Epos5	4.214801368171969
F1Epos6	4.340150453231009
F1Epos7	3.7231102349617498
F1Epos8	4.5138877332776675
F1Epos9	3.594066674504671
F2Epos1	5.419485396040453
F2Epos10	4.207756550212812
F2Epos11	5.489993184808434
F2Epos12	3.716959268862396
F2Epos13	4.23268461801184
F2Epos2	3.599513129396174
F2Epos3	4.839002555490959
F2Epos4	2.635326839942663
F2Epos5	4.443789569676649
F2Epos6	4.128863750328271
F2Epos7	4.001879716207681
F2Epos8	4.761483316815966
F2Epos9	4.2962909702029926
M1Epos1	5.6018692479535535
M1Epos10	4.010382514090833
M1Epos11	5.1235731769698445
M1Epos12	4.035820114209851
M1Epos13	5.291114601693737
M1Epos2	4.894453260182381
M1Epos3	3.47794138989674
M1Epos4	5.325557477142913
M1Epos5	2.5965327820531408
M1Epos6	4.093589449273197
M1Epos7	3.0629705816373476
M1Epos8	4.4602360711280085
M1Epos9	3.896615311935865
M2Epos1	4.467631998345078
M2Epos10	3.764004383481256
M2Epos11	2.250367006931078
M2Epos12	4.9891818651443165
M2Epos13	4.032026265221111
M2Epos2	5.270231101756663
M2Epos3	3.987318151531075
M2Epos4	3.7667934421933498
M2Epos5	4.0478637071916115
M2Epos6	2.296437635115008
M2Epos7	2.5098978415619304
M2Epos8	3.888875940071161
M2Epos9	2.020816420427648
