	shannon_entropy
F1W1	4.36981234700456
F1W10	3.8481571118055578
F1W11	4.481660782637269
F1W12	4.797681160832372
F1W13	4.12811216207181
F1W2	5.684900426856354
F1W3	4.076829131615818
F1W4	3.2059170640053947
F1W5	3.559245426166493
F1W6	4.26586445024331
F1W7	3.75116171778135
F1W8	4.0505961040198155
F1W9	4.079875406952702
F2W1	4.785272247802041
F2W10	4.410377002950835
F2W11	5.532327380744818
F2W12	2.977217094972274
F2W13	4.992624368712652
F2W2	1.5822190687890616
F2W3	3.012320004116329
F2W4	3.4222757182853836
F2W5	2.2807256867229118
F2W6	4.9068004884041265
F2W7	3.5143503099265674
F2W8	4.903755575852116
F2W9	2.6118610509333116
M1W1	3.0004062605250277
M1W10	4.657127395769213
M1W11	2.423873411009566
M1W12	3.93854081176433
M1W13	5.623224044821354
M1W2	3.180850645881938
M1W3	3.4522100308803445
M1W4	4.815394190674277
M1W5	3.400472950351263
M1W6	4.0634823287303234
M1W7	4.546170810232699
M1W8	4.969892602254984
M1W9	4.5474102247434995
M2W1	4.764413474450404
M2W10	5.050049324974734
M2W11	5.328330716359281
M2W12	5.375205741190884
M2W13	5.450725052225245
M2W2	4.668917913129279
M2W3	2.3031315255883036
M2W4	4.863589806815331
M2W5	3.9102563546991895
M2W6	3.8506043881568104
M2W7	3.709978443520237
M2W9	4.286562623571652
