day,F1.1,F1.2,F1.3,F2.1,F2.2,F2.3,M1.1,M1.2,M1.3,M2.1,M2.2,M2.3
1,7.9889,8.1056,6.4697,5.0918,5.5853,6.4281,13.4942,12.7035,13.1123,11.7931,13.4492,12.6028
5,4.2673,5.8491,4.6394,0.7585,0.9589,1.1814,1.6494,1.6563,2.1768,5.8253,7.0816,5.8254
7,1.6401,3.3747,3.221,0,2.477,1.3704,4.736,6.0559,4.8693,3.2193,2.7392,2.8215
8,0.9489,2.3976,1.4442,0,4.6849,0.9566,1.2958,2.2243,2.5245,9.471,10.7285,12.8622
11,0.679,4.4539,3.2691,0.4296,0.8817,0.9394,0.6606,2.8482,2.4408,2.4732,3.0429,2.6818
12,2.2145,1.2639,1.9795,1.2439,3.278,2.4093,0.1599,0.6863,1.2805,0.9908,1.1346,2.4908
13,0.3604,0.795,0.6981,1.3295,0.9952,1.2517,2.1225,1.2741,0.4217,2.8357,2.6471,2.6536
14,1.3712,1.5981,2.2165,3.3102,3.0734,2.1748,0.7937,1.6072,1.4256,2.2575,2.2171,0
15,2.3113,2.4397,1.6945,0,0.7366,0.8211,3.091,6.7541,5.1619,6.081,7.7624,6.3586
18,2.4808,1.4785,2.0664,3.3878,4.8058,4.6027,0.0771,3.0715,2.1933,3.5125,4.3628,4.1894
26,7.4504,7.9815,8.9122,4.6055,5.2791,5.2328,4.4694,5.882,5.1444,16.4715,14.7896,15.5696
29,4.215,6.1778,4.9487,0,1.8195,1.2553,2.1632,5.365,3.2618,6.5187,5.7795,5.8109
33,4.7371,7.066,5.2116,0.4802,2.2765,2.5664,2.2472,3.4448,3.3331,1.7654,2.0027,1.9445
