sample,lcn2,day,cage
F1D8,165.4586173,8,F1
F2D8,165.4586173,8,F2
M1D8,44.12092364,8,M1
M2D8,36.00695691,8,M2
F1D9,225.3658501,9,F1
F2D9,231.4368761,9,F2
M1D9,554.9686245,9,M1
M2D9,210.2926378,9,M2
F1D10,504.9014191,10,F1
F2D10,396.4103,10,F2
M1D10,1138.806543,10,M1
M2D10,763.6725302,10,M2
F1D11,1288.842615,11,F1
F2D11,2761.873589,11,F2
M1D11,2806.365257,11,M1
M2D11,1752.04195,11,M2
F1D12,10195.51635,12,F1
F2D12,32830.88513,12,F2
M2D12,37440.28046,12,M2
F1D13,33083.21563,13,F1
F2D13,238382.713,13,F2
M1D13,192967.7965,13,M1
M2D13,214435.752,13,M2
F1D14,157697.1499,14,F1
F2D14,139090.3891,14,F2
M1D14,222738.9214,14,M1
M2D14,77313.7173,14,M2
F1D15,135028.8823,15,F1
F2D15,155519.7719,15,F2
M1D15,48428.34232,15,M1
M2D15,363190.3529,15,M2
F1D16,57523.18519,16,F1
F2D16,301829.4663,16,F2
M1D16,46879.83101,16,M1
M2D16,111960.0429,16,M2
F1D17,193257.1013,17,F1
F2D17,58499.15797,17,F2
M1D17,44231.77214,17,M1
M2D17,898504.299,17,M2
F1D18,106668.2374,18,F1
F2D18,167605.6137,18,F2
M1D18,135130.1891,18,M1
F1D26,136346.7982,26,F1
F2D26,118679.8987,26,F2
M1D26,17181.52172,26,M1
M2D26,390439.9101,26,M2
F1D29,26981.29888,29,F1
F2D29,51414.68438,29,F2
M1D29,5912.156706,29,M1
M2D29,42440.94073,29,M2
F1D33,28216.5157,33,F1
F2D33,19314.99434,33,F2
M1D33,43522.11614,33,M1
M2D33,47579.68841,33,M2
