CUBHE,GC,GCdiv,ConsistencyHE,CUB,CPB,FilteredSequences,nHE,dCUB,min_DT,LowerCI,UpperCI,file,day,hs,cage,sex
0.9334032,0.5053063,0.005306319,0.8628976,0.7130352,NA,28494,1405,-0.3090563,2.604826,2.051735,3.334705,M2D11_S5_nle1k.tsv,11,Pre-symptomatic,M2,Male
0.9569667,0.5047525,0.004752502,0.8644408,0.7280187,NA,17300,984,-0.314481,2.540551,2.000394,3.253662,M2D12_S6_nle1k.tsv,12,Symptomatic,M2,Male
0.9753875,0.519079,0.01907904,0.8573907,0.7333338,NA,16908,973,-0.330073,2.259045,1.82465,2.81552,M2D13_S49_nle1k.tsv,13,Symptomatic,M2,Male
0.9673547,0.5138337,0.01383372,0.8469339,0.7400276,NA,16596,897,-0.3071873,2.563688,2.049151,3.231021,M2D14_S46_nle1k.tsv,14,Symptomatic,M2,Male
0.9032469,0.5046409,0.004640932,0.7751694,0.7103149,NA,28377,1168,-0.2716147,3.145055,2.459814,4.056925,M2D15_S45_nle1k.tsv,15,Symptomatic,M2,Male
0.9599524,0.5186239,0.01862388,0.7878411,0.7255002,NA,20166,927,-0.3231594,2.338811,1.886986,2.918371,M2D18_S50_nle1k.tsv,18,Recovery,M2,Male
0.8651617,0.5010491,0.001049063,0.7999336,0.703692,NA,32913,1399,-0.2294607,3.947506,3.03525,5.186288,M2D1_S43_nle1k.tsv,1,Baseline,M2,Male
0.8309483,0.4443986,0.05560138,0.7953717,0.6425575,NA,23110,822,-0.2931891,2.429102,2.068927,2.862628,M2D5_S44_nle1k.tsv,5,Baseline,M2,Male
0.8857478,0.4709621,0.02903794,0.8806132,0.6952772,NA,26036,1000,-0.2739491,2.888524,2.359623,3.557095,M2D7_S54_nle1k.tsv,7,Baseline,M2,Male
0.9137763,0.5157529,0.01575295,0.7896605,0.7265092,NA,34984,1462,-0.2577628,3.26161,2.596138,4.128967,M2D8_S2_nle1k.tsv,8,Pre-symptomatic,M2,Male
