#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
DFNFGKOD_00001	1	249	10	240	96.3855	3.53012	33	20.3
DFNFGKOD_00002	1	180	2	142	78.8889	2.98333	32.9	22.5
DFNFGKOD_00003	1	327	6	327	100	2.5841	33.6	14
DFNFGKOD_00004	1	186	1	151	81.1828	0.811828	30.5	42
DFNFGKOD_00005	1	234	8	220	94.0171	3.68803	33	38.4
DFNFGKOD_00006	1	966	39	943	97.619	6	32.7	40.5
DFNFGKOD_00007	1	396	7	238	60.101	1.90152	33	42
DFNFGKOD_00008	1	495	7	410	82.8283	2.73737	33.2	42
DFNFGKOD_00009	1	357	4	207	57.9832	1.2521	32.9	21.8
DFNFGKOD_00010	1	150	5	138	92	1.8	31.9	9
DFNFGKOD_00011	1	321	19	318	99.0654	9.85047	32.1	12.6
DFNFGKOD_00012	1	1440	103	1437	99.7917	10.2146	32.9	38.8
DFNFGKOD_00013	1	414	7	380	91.7874	2.5	33	36.9
DFNFGKOD_00016	1	294	31	220	74.8299	1.52041	32.9	17.7
DFNFGKOD_00017	1	1632	2344	1632	100	209.136	32.8	36.7
DFNFGKOD_00018	1	375	380	375	100	139.272	32.8	24.7
DFNFGKOD_00019	1	339	291	339	100	134.708	32.8	29.6
DFNFGKOD_00020	1	552	19	548	99.2754	5.1413	32.9	36.8
DFNFGKOD_00021	1	156	4	136	87.1795	0.871795	33.3	20.5
DFNFGKOD_00022	1	567	12	564	99.4709	3.54497	32.7	38.8
DFNFGKOD_00023	1	186	4	60	32.2581	0.645161	33.7	42
DFNFGKOD_00024	1	294	14	272	92.517	7.59864	33	36.8
DFNFGKOD_00025	1	462	8	365	79.0043	2.61255	33.3	39.8
DFNFGKOD_00026	1	294	1	151	51.3605	1.02721	33.9	24
DFNFGKOD_00027	1	207	2	185	89.372	1.37198	33.5	42
DFNFGKOD_00028	1	306	3	186	60.7843	1.48039	32.4	28
DFNFGKOD_00030	1	297	3	222	74.7475	1.45455	33	41.3
DFNFGKOD_00031	1	615	28	576	93.6585	6.39024	33	33.3
DFNFGKOD_00032	1	354	15	238	67.2316	5.64689	33.2	25.1
DFNFGKOD_00033	1	282	4	210	74.4681	1.60284	33.2	42
DFNFGKOD_00034	1	258	2	158	61.2403	1.75581	33.1	42
DFNFGKOD_00035	1	231	5	231	100	2.5974	32.5	24.4
DFNFGKOD_00036	1	207	4	163	78.744	2.88889	33.6	42
DFNFGKOD_00037	1	372	22	363	97.5806	7.68548	32.7	34.7
DFNFGKOD_00038	1	168	9	168	100	5.47619	33.1	32.4
DFNFGKOD_00039	1	642	38	610	95.0156	8.12617	32.7	41.9
DFNFGKOD_00040	1	795	25	736	92.5786	4.13208	32.7	38.3
DFNFGKOD_00041	1	246	10	205	83.3333	5.63008	33	30.3
DFNFGKOD_00042	1	1002	48	972	97.006	6.5509	32.8	35.5
DFNFGKOD_00043	1	519	32	519	100	9.43353	32.2	33.6
DFNFGKOD_00044	1	258	5	208	80.6202	1.7093	33.6	10.6
DFNFGKOD_00045	1	162	3	139	85.8025	2.47531	33.6	41.3
DFNFGKOD_00046	1	573	22	490	85.5148	6.29668	32.4	25.2
DFNFGKOD_00047	1	195	13	195	100	7.04103	33.1	21.9
DFNFGKOD_00049	1	381	15	351	92.126	5.79265	33.3	42
DFNFGKOD_00050	1	297	6	255	85.8586	3.53872	32.6	32
DFNFGKOD_00051	1	456	25	454	99.5614	8.04605	32.6	5.08
DFNFGKOD_00052	1	618	139	618	100	28.5146	32.4	36.7
